SampleID,Site,LitterOrigin,MicrobialOrigin,Replicate,Timepoint,Date,Collection,FullBag,EmptyBag,BagDiff,EmptyContainer,FullContainer,ContainerDiff,DNAWetWeight,HydrolyticWetWeight,OxidativeWetWeight,BactWetWeight,LitterWetWeight,LitterDryWeight,WetLitterPlusEnvWeight,EnvWeight,DryLitterPlusEnvWeight,HyphaeWetWeight
2L03,Grassland,Grassland,,3,1,4/6/16,4/5/16,5.185,3.79,1.395,50.73,52.144,1.414,,,,0.105,1.032,0.88,2.522,1.49,2.37,0.107
2L04,Grassland,Grassland,,4,1,4/6/16,4/5/16,5.62,4.225,1.395,50.81,52.151,1.341,,,,0.105,1.061,0.94,2.541,1.48,2.42,0.1
2N01,Grassland,Grassland,,1,1,4/6/16,4/5/16,7.11,5.792,1.318,50.8,52.254,1.454,,,,0.098,0.479,0.37,1.949,1.47,1.84,0.113
2N02,Grassland,Grassland,,2,1,4/6/16,4/5/16,7.793,6.297,1.496,50.57,52.094,1.524,,,,0.099,1.016,0.86,2.496,1.48,2.34,0.104
2N03,Grassland,Grassland,,3,1,4/6/16,4/5/16,7.257,5.738,1.519,50.43,51.993,1.563,,,,0.106,1,0.86,2.51,1.51,2.37,0.108
2N04,Grassland,Grassland,,4,1,4/6/16,4/5/16,7.149,5.59,1.559,50.64,52.224,1.584,,,,0.107,1.107,0.87,2.587,1.48,2.35,0.103
2P01,Grassland,Grassland,Oak Pine,1,1,4/6/16,4/5/16,9.562,6.156,3.406,47.9,51.252,3.352,0.0505,0.4,0.22,0.1,1.014,0.88,2.534,1.52,2.4,0.1
2P02,Grassland,Grassland,Oak Pine,2,1,4/6/16,4/5/16,9.233,6.058,3.175,48.06,51.153,3.093,0.0499,0.41,0.2,0.1,1.003,0.87,2.483,1.48,2.35,0.1
2P03,Grassland,Grassland,Oak Pine,3,1,4/6/16,4/5/16,8.6,5.779,2.821,47.41,50.202,2.792,0.0501,0.412,0.199,0.102,1.004,0.84,2.484,1.48,2.32,0.1
2P04,Grassland,Grassland,Oak Pine,4,1,4/6/16,4/5/16,9.093,6.035,3.058,48.1,51.168,3.068,0.0508,0.403,0.199,0.102,1.021,0.86,2.511,1.49,2.35,0.104
2S01,Grassland,Grassland,Subalpine,1,1,4/6/16,4/5/16,9.256,6.086,3.17,49.01,52.092,3.082,0.0508,0.406,0.198,0.099,1.011,0.86,2.501,1.49,2.35,0.105
2S02,Grassland,Grassland,Subalpine,2,1,4/6/16,4/5/16,8.989,5.943,3.046,48.81,51.859,3.049,0.0503,0.406,0.206,0.108,1,0.85,2.48,1.48,2.33,0.109
2S03,Grassland,Grassland,Subalpine,3,1,4/6/16,4/5/16,9.36,5.917,3.443,48.14,51.512,3.372,0.0512,0.406,0.206,0.101,1.011,0.87,2.501,1.49,2.36,0.1
2S04,Grassland,Grassland,Subalpine,4,1,4/6/16,4/5/16,9.305,5.923,3.382,48.92,52.283,3.363,0.0502,0.399,0.202,0.101,1.017,0.88,2.487,1.47,2.35,0.106
2W01,Grassland,Grassland,Woodland,1,1,4/6/16,4/5/16,8.421,5.927,2.494,48.08,50.533,2.453,0.0509,0.403,0.224,0.13,1.06,0.89,2.62,1.56,2.45,0.1
2W02,Grassland,Grassland,Woodland,2,1,4/6/16,4/5/16,,5.76,,48.26,,,0.0492,0.437,0.243,0.135,1.131,0.95,2.701,1.57,2.52,0.138
2W03,Grassland,Grassland,Woodland,3,1,4/6/16,4/5/16,8.91,5.971,2.939,48.22,51.134,2.914,0.0503,0.4,0.21,0.11,1.1,0.97,2.64,1.54,2.51,0.1
2W04,Grassland,Grassland,Woodland,4,1,4/6/16,4/5/16,9.192,5.948,3.244,49.11,52.3,3.19,0.0504,0.41,0.21,0.11,1.019,0.87,2.559,1.54,2.41,0.11
3C01,Oak-Pine,Grassland,,1,1,4/6/16,4/5/16,9.19,5.66,3.53,50.69,54.2,3.51,,,,0.12,1.12,0.98,2.65,1.53,2.51,0.12
3C02,Oak-Pine,Grassland,,2,1,4/6/16,4/5/16,9.14,5.64,3.5,50.79,54.25,3.46,,,,0.13,1,0.85,2.5,1.52,2.37,0.1
3C03,Oak-Pine,Grassland,,3,1,4/6/16,4/5/16,9.22,5.63,3.59,50.5,54.04,3.54,,,,0.1,1.09,0.95,2.61,1.52,2.47,0.1
3C04,Oak-Pine,Grassland,,4,1,4/6/16,4/5/16,9.54,5.93,3.61,50.7,54.28,3.58,,,,0.11,1.02,0.88,2.54,1.52,2.4,0.1
3D01,Oak-Pine,Grassland,Desert,1,1,4/6/16,4/5/16,9.5,5.88,3.62,47.31,50.91,3.6,0.0498,0.41,0.21,0.11,1.11,0.96,2.61,1.5,2.46,0.1
3D02,Oak-Pine,Grassland,Desert,2,1,4/6/16,4/5/16,9.34,5.98,3.36,48.04,51.31,3.27,0.0501,0.4,0.21,0.11,1.02,0.87,2.52,1.5,2.37,0.12
3D03,Oak-Pine,Grassland,Desert,3,1,4/6/16,4/5/16,9.54,6.17,3.37,48.72,51.96,3.24,0.0499,0.4,0.22,0.12,1.04,0.89,2.56,1.52,2.41,0.1
3D04,Oak-Pine,Grassland,Desert,4,1,4/6/16,4/5/16,9.41,5.97,3.44,48.2,51.56,3.36,0.0496,0.4,0.22,0.12,1.07,0.93,2.59,1.52,2.45,0.13
3G01,Oak-Pine,Grassland,Grassland,1,1,4/6/16,4/5/16,9.31,6.06,3.25,49.18,52.4,3.22,0.0502,0.41,0.21,0.14,1.1,0.94,2.6,1.5,2.44,0.11
3G02,Oak-Pine,Grassland,Grassland,2,1,4/6/16,4/5/16,9.49,6.02,3.47,47.86,51.31,3.45,0.0508,0.4,0.22,0.1,1.02,0.88,2.52,1.5,2.38,0.1
3G03,Oak-Pine,Grassland,Grassland,3,1,4/6/16,4/5/16,9.47,6.19,3.28,47.89,51.13,3.24,0.05,0.41,0.22,0.11,1.09,0.93,2.58,1.49,2.42,0.1
3G04,Oak-Pine,Grassland,Grassland,4,1,4/6/16,4/5/16,9.59,6.33,3.26,49.19,52.44,3.25,0.051,0.42,0.22,0.1,1,0.87,2.5,1.5,2.37,0.11
3L01,Oak-Pine,Oak Pine,,1,1,4/6/16,4/5/16,5.5,3.74,1.76,51.07,52.82,1.75,,,,0.1,1.05,0.9,2.52,1.47,2.37,0.1
3L02,Oak-Pine,Oak Pine,,2,1,4/6/16,4/5/16,5.63,3.87,1.76,50.92,52.66,1.74,,,,0.12,1.16,1.02,2.64,1.48,2.5,0.13
3L03,Oak-Pine,Oak Pine,,3,1,4/6/16,4/5/16,5.56,3.75,1.81,50.38,52.18,1.8,,,,0.1,1.05,0.9,2.54,1.49,2.39,0.11
3L04,Oak-Pine,Oak Pine,,4,1,4/6/16,4/5/16,5.4,3.66,1.74,50.45,52.16,1.71,,,,0.1,1.08,0.94,2.57,1.49,2.43,0.11
3N01,Oak-Pine,Oak Pine,,1,1,4/6/16,4/5/16,7.55,5.71,1.84,50.82,52.64,1.82,,,,0.12,1.02,0.85,2.52,1.5,2.35,0.11
3N02,Oak-Pine,Oak Pine,,2,1,4/6/16,4/5/16,7.49,5.68,1.81,50.77,52.56,1.79,,,,0.11,1.04,0.88,2.55,1.51,2.39,0.11
3N03,Oak-Pine,Oak Pine,,3,1,4/6/16,4/5/16,7.39,5.58,1.81,50.48,52.29,1.81,,,,0.11,1.08,0.95,2.59,1.51,2.46,0.1
3N04,Oak-Pine,Oak Pine,,4,1,4/6/16,4/5/16,7.48,5.68,1.8,50.67,52.45,1.78,,,,0.11,1.05,0.9,2.56,1.51,2.41,0.1
3P01,Oak-Pine,Grassland,Oak Pine,1,1,4/6/16,4/5/16,9.22,5.75,3.47,48.74,52.18,3.44,0.0496,0.41,0.22,0.12,1.02,0.86,2.52,1.5,2.36,0.14
3P02,Oak-Pine,Grassland,Oak Pine,2,1,4/6/16,4/5/16,9.52,6.11,3.41,48.16,51.52,3.36,0.0496,0.41,0.21,0.1,1.06,0.9,2.6,1.54,2.44,0.1
3P03,Oak-Pine,Grassland,Oak Pine,3,1,4/6/16,4/5/16,9.39,5.78,3.61,47.57,51.15,3.58,0.0498,0.41,0.21,0.1,1.17,0.99,2.73,1.56,2.55,0.1
3P04,Oak-Pine,Grassland,Oak Pine,4,1,4/6/16,4/5/16,9.67,6.02,3.65,47.93,50.42,2.49,0.0504,0.42,0.21,0.1,1.03,0.91,2.53,1.5,2.41,0.1
3S01,Oak-Pine,Grassland,Subalpine,1,1,4/6/16,4/5/16,9.59,5.98,3.61,48.77,52.37,3.6,0.0504,0.4,0.21,0.1,1.19,1.01,2.69,1.5,2.51,0.1
3S02,Oak-Pine,Grassland,Subalpine,2,1,4/6/16,4/5/16,9.4,5.8,3.6,47.36,50.98,3.62,0.0504,0.42,0.2,0.1,1.02,0.84,2.52,1.5,2.34,0.1
3S03,Oak-Pine,Grassland,Subalpine,3,1,4/6/16,4/5/16,9.46,5.79,3.67,48.06,51.7,3.64,0.0495,0.4,0.2,0.1,1.15,1.02,2.64,1.49,2.51,0.1
3S04,Oak-Pine,Grassland,Subalpine,4,1,4/6/16,4/5/16,9.53,6.06,3.47,47.64,51.09,3.45,0.0503,0.41,0.21,0.1,1.02,0.87,2.51,1.49,2.36,0.1
3W01,Oak-Pine,Grassland,Woodland,1,1,4/6/16,4/5/16,9.61,6.05,3.56,49.03,52.53,3.5,0.0502,0.41,0.22,0.11,1.04,0.9,2.59,1.55,2.45,0.1
3W02,Oak-Pine,Grassland,Woodland,2,1,4/6/16,4/5/16,9.26,5.83,3.43,47.41,50.8,3.39,0.0504,0.41,0.2,0.11,1.09,0.94,2.67,1.58,2.52,0.11
3W03,Oak-Pine,Grassland,Woodland,3,1,4/6/16,4/5/16,9.48,6.08,3.4,47.93,51.12,3.19,0.0508,0.41,0.22,0.1,1.13,0.98,2.7,1.57,2.55,0.11
3W04,Oak-Pine,Grassland,Woodland,4,1,4/6/16,4/5/16,9.5,6.37,3.13,49.11,52.2,3.09,0.051,0.42,0.21,0.11,0.99,0.9,2.55,1.56,2.46,0.11
4C01,Woodland,Grassland,,1,1,4/6/16,4/5/16,9.57,5.61,3.96,51.01,54.85,3.84,,,,0.1,1.33,1.2,2.85,1.52,2.72,0.11
4C02,Woodland,Grassland,,2,1,4/6/16,4/5/16,10.1,6.05,4.05,50.76,54.72,3.96,,,,0.11,1.02,0.91,2.52,1.5,2.41,0.11
4C03,Woodland,Grassland,,3,1,4/6/16,4/5/16,9.65,5.82,3.83,50.7,54.49,3.79,,,,0.1,1.03,0.94,2.55,1.52,2.46,0.1
4C04,Woodland,Grassland,,4,1,4/6/16,4/5/16,9.77,5.89,3.88,50.44,54.2,3.76,,,,0.11,1.08,0.94,2.58,1.5,2.44,0.1
4D01,Woodland,Grassland,Desert,1,1,4/6/16,4/5/16,10.07,5.98,4.09,47.38,51.4,4.02,0.0504,0.4,0.2,0.1,1.01,0.86,2.53,1.52,2.38,0.1
4D02,Woodland,Grassland,Desert,2,1,4/6/16,4/5/16,10.35,6,4.35,48.28,52.54,4.26,0.0505,0.4,0.2,0.12,1.07,0.92,2.61,1.54,2.46,0.11
4D03,Woodland,Grassland,Desert,3,1,4/6/16,4/5/16,9.81,5.93,3.88,49.04,52.84,3.8,0.0508,0.41,0.2,0.11,1.07,0.92,2.61,1.54,2.46,0.11
4D04,Woodland,Grassland,Desert,4,1,4/6/16,4/5/16,9.83,5.89,3.94,47.6,51.45,3.85,0.0503,0.41,0.21,0.1,1.05,0.88,2.62,1.57,2.45,0.1
4G01,Woodland,Grassland,Grassland,1,1,4/6/16,4/5/16,10.07,6.3,3.77,47.43,51.12,3.69,0.0509,0.4,0.21,0.1,1.01,0.87,2.49,1.48,2.35,0.11
4G02,Woodland,Grassland,Grassland,2,1,4/6/16,4/5/16,10.09,6.15,3.94,48.21,52.15,3.94,0.0507,0.4,0.21,0.11,1.05,0.92,2.55,1.5,2.42,0.11
4G03,Woodland,Grassland,Grassland,3,1,4/6/16,4/5/16,9.92,6.02,3.9,47.39,51.18,3.79,0.0505,0.4,0.2,0.11,1.03,0.89,2.53,1.5,2.39,0.11
4G04,Woodland,Grassland,Grassland,4,1,4/6/16,4/5/16,8.64,5.78,2.86,48.66,51.42,2.76,0.0513,0.41,0.21,0.11,1.01,0.86,2.5,1.49,2.35,0.12
4L01,Woodland,Woodland,,1,1,4/6/16,4/5/16,5.63,3.96,1.67,50.57,52.2,1.63,,,,0.11,1.07,0.97,2.58,1.51,2.48,0.13
4L02,Woodland,Woodland,,2,1,4/6/16,4/5/16,5.83,3.97,1.86,50.89,52.7,1.81,,,,0.1,1.07,0.93,2.58,1.51,2.44,0.1
4L03,Woodland,Woodland,,3,1,4/6/16,4/5/16,5.65,3.89,1.76,50.69,52.4,1.71,,,,0.1,0.97,0.85,2.49,1.52,2.37,0.1
4L04,Woodland,Woodland,,4,1,4/6/16,4/5/16,5.67,3.93,1.74,50.66,52.37,1.71,,,,0.13,1.1,1,2.6,1.5,2.5,0.12
4N01,Woodland,Woodland,,1,1,4/6/16,4/5/16,7.62,5.83,1.79,50.72,52.47,1.75,,,,0.1,1.02,0.9,2.52,1.5,2.4,0.1
4N02,Woodland,Woodland,,2,1,4/6/16,4/5/16,7.93,6.13,1.8,50.67,52.413,1.743,,,,0.13,1.19,1.08,2.7,1.51,2.59,0.12
4N03,Woodland,Woodland,,3,1,4/6/16,4/5/16,7.66,5.88,1.78,50.9,52.64,1.74,,,,0.13,1.03,0.91,2.53,1.5,2.41,0.1
4N04,Woodland,Woodland,,4,1,4/6/16,4/5/16,7.76,5.98,1.78,50.74,52.46,1.72,,,,0.13,1,0.88,2.5,1.5,2.38,0.1
4P01,Woodland,Grassland,Oak Pine,1,1,4/6/16,4/5/16,9.59,6.02,3.57,47.53,50.95,3.42,0.0508,0.44,0.22,0.13,1,0.85,2.56,1.56,2.41,0.11
