STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP_in,SNOW_in,SNWD_in,PRCP_mm,Snow_mm,SNWD_mm,TMAX_F,TMIN_F,TOBS_F
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/8/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/9/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/10/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/11/15,,,0.21,0,0,5.334,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/12/15,,,0.53,1.3,1,13.462,33.02,25.4,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/13/15,,,0,0,1,0,0,25.4,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/14/15,,,0.76,0.2,1,19.304,5.08,25.4,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/15/15,,,0,0,1,0,0,25.4,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/16/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/17/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/18/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/19/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/20/15,,,0.33,0.1,0,8.382,2.54,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/21/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/22/15,,,0.54,,,13.716,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/23/15,,,2.37,0,0,60.198,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/24/15,,,0,0,0,0,0,0,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/25/15,,,0.14,0.7,1,3.556,17.78,25.4,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/26/15,,,0.07,0.1,1,1.778,2.54,25.4,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/27/15,,,0,0,1,0,0,25.4,,,
US1CARV0002,"IDYLLWILD 1.8 NW, CA US",33.7631,-116.735,1927.9,12/28/15,,,0,0,0,0,0,0,,,
