desc_1,SampleID,TimePoint,Site,Inoculum,feedtype,Sampled,drymatter,moisture,CP,ADJ_CP,ADJ_CP_CP,SP,SP_CP,NH3CPE,NH3CPE_CP,ADICP,ADICP_CP,NDICP,NDICP_CP,RDP,RDP_CP,ADF,ADF_NDF,NDF,aNDFom,Lignin,Lignin_ndf,Starch,Starch_NFC,Fat_EE,TDN,NELMcallb,NEMMcallb,NEGMcallb,RFV,NFC,NSC,Ash,Ca,P,Mg,K,S,soilContaiminationProb
2S02-2 ELEVATION LEVEL,2S02,2,Grassland,S,MIXED FORAGE,10/16/16,90.7,9.3,17.2,15.5,90.5,6.9,40.1,,,3.34,19.5,7.02,40.9,12,70,51.1,74.7,68.3,51.9,11.92,17.45,2.2,12.8,3.83,58.6,0.59,0.55,0.3,67,17.2,2.2,0.56,1.16,0.46,0.3,,0.06,Probable moderate contamination
2S03-2 ELEVATION LEVEL,2S03,2,Grassland,S,MMG FORAGE,10/16/16,90.1,9.9,14.9,13.1,87.9,5,33.5,,,3.29,22.1,6.83,45.9,9.9,66.8,52.5,69.4,75.6,61.9,11.17,14.77,2.2,,3.33,55.6,0.57,0.53,0.27,59,13,2.2,,0.47,0.41,0.23,,0.07,Probable low to none
2S04-2 ELEVATION LEVEL,2S04,2,Grassland,S,GRASS FORAGE,10/16/16,89.1,10.9,11.8,10.7,90.8,4.2,35.8,,,2.26,19.2,6.08,51.5,8,67.9,47.8,61.9,77.3,68.6,8.83,11.43,1.9,16,2.36,54.9,0.54,0.5,0.24,62,11.7,1.9,2.9,0.78,0.2,0.24,0.73,0.16,Probable low to none
2W01-2 ELEVATION LEVEL,2W01,2,Grassland,W,MMG FORAGE,10/16/16,89.3,10.7,15.3,14.1,92.5,6.7,43.7,,,2.67,17.5,4.37,28.6,11,71.8,45.2,66.4,68.1,59,11.33,16.63,3.4,20.5,2.21,54.4,0.54,0.49,0.24,73,16.5,3.4,2.24,1.13,0.19,0.24,,0.24,Probable low to none
2W02-2 ELEVATION LEVEL,2W02,2,Grassland,W,GRASS FORAGE,10/16/16,89.5,10.5,14.4,13.2,91.7,5.7,39.4,,,2.64,18.3,5.17,35.9,10,69.7,45.8,64.6,70.9,60.7,10.56,14.9,2.9,20,2.31,54.2,0.54,0.48,0.23,70,14.6,2.9,3.01,0.99,0.23,0.24,0.01,0.21,Probable low to none
2W03-2 ELEVATION LEVEL,2W03,2,Grassland,W,GRASS FORAGE,10/16/16,89.3,10.7,14.5,13.3,91.7,5.7,39.7,,,2.64,18.3,5.72,39.6,10.1,69.8,47.1,63.8,73.9,64.7,11.41,15.44,2,15.4,2.43,53.6,0.53,0.47,0.22,66,13,2,1.91,1.02,0.11,0.21,,0.21,Probable low to none
2W04-2 ELEVATION LEVEL,2W04,2,Grassland,W,GRASS FORAGE,10/16/16,89.5,10.5,14.5,13.6,93.8,6.2,42.7,,,2.35,16.2,4.5,31,10.4,71.4,44.2,62.2,71.1,65.5,10.09,14.2,2.9,19,2.18,55.6,0.55,0.51,0.25,71,15.1,2.9,1.64,0.91,0.18,0.21,,0.21,Probable low to none
3D01-2 ELEVATION LEVEL,3D01,2,Pine-Oak,D,GRASS FORAGE,10/16/16,90.8,9.3,11.4,10.7,94,4.6,40.4,,,1.82,16,4.4,38.8,8,70.2,46.3,61.5,75.3,68.1,7.94,10.55,2.6,19.2,2.45,57.1,0.57,0.53,0.28,65,13.3,2.6,2.04,0.75,0.17,0.16,,0.14,Probable low to none
3D02-2 ELEVATION LEVEL,3D02,2,Pine-Oak,D,GRASS FORAGE,10/16/16,90.5,9.6,11.4,10.9,95.7,5.4,47.5,,,1.63,14.3,3.51,30.7,8.4,73.7,45.9,61.5,74.6,69.2,7.84,10.51,2.1,15.6,2.28,57.1,0.57,0.53,0.28,66,13.4,2.1,1.86,0.76,0.11,0.17,,0.14,Probable low to none
3D03-2 ELEVATION LEVEL,3D03,2,Pine-Oak,D,GRASS FORAGE,10/16/16,90.8,9.2,11.2,10.5,93.7,4.9,44.2,,,1.82,16.3,3.97,35.5,8.1,72.1,47.8,61.3,77.9,70.5,8.5,10.92,2.4,21.1,2.3,55.9,0.56,0.51,0.26,62,11.3,2.4,1.3,0.77,0.08,0.15,,0.13,Probable low to none
3D04-2 ELEVATION LEVEL,3D04,2,Pine-Oak,D,GRASS FORAGE,10/16/16,91.1,8.9,11.7,11,93.3,5.7,48.4,,,1.96,16.7,3.35,28.5,8.7,74.2,45.1,62,72.8,65.2,7.97,10.95,2.7,18.3,2.39,57.4,0.58,0.54,0.28,69,14.5,2.7,1.96,0.87,0.16,0.17,,0.14,Probable low to none
3G01-2 ELEVATION LEVEL,3G01,2,Pine-Oak,G,GRASS FORAGE,10/16/16,90.5,9.5,14.2,13,91.6,5.1,35.7,,,2.61,18.4,5.65,39.8,9.6,67.8,43.6,60.6,71.9,62.8,9.64,13.41,3.8,25.7,2.66,56.5,0.56,0.52,0.27,71,14.7,3.8,2.17,0.8,0.36,0.16,0.41,0.16,Probable low to none
3G02-2 ELEVATION LEVEL,3G02,2,Pine-Oak,G,GRASS FORAGE,10/16/16,90.6,9.4,12,11.1,92.9,4.7,38.8,,,2.05,17.1,5.15,43,8.3,69.4,46.5,60.2,77.3,69.2,8.55,11.07,2.3,19,2.58,56.9,0.57,0.53,0.28,63,12.2,2.3,1.14,0.75,0.2,0.16,,0.14,Probable low to none
3G03-2 ELEVATION LEVEL,3G03,2,Pine-Oak,G,GRASS FORAGE,10/16/16,90.8,9.2,13.6,12.4,91.1,5.5,40.6,,,2.57,18.9,5.54,40.7,9.6,70.3,49,64.4,76.1,65.9,10.54,13.86,1.9,15.7,2.34,54,0.53,0.48,0.23,62,11.9,1.9,1.6,0.95,0.17,0.16,,0.17,Probable low to none
3G04-2 ELEVATION LEVEL,3G04,2,Pine-Oak,G,GRASS FORAGE,10/16/16,90.5,9.5,14.5,13.3,92.1,6,41.4,,,2.59,17.9,5.49,37.9,10.2,70.7,46.2,62.2,74.2,64,9.86,13.28,2.3,18,2.55,55.9,0.56,0.51,0.26,66,12.7,2.3,1.49,0.95,0.22,0.18,,0.18,Probable low to none
3P01-2 ELEVATION LEVEL,3P01,2,Pine-Oak,P,GRASS FORAGE,10/16/16,90.5,9.5,12.1,10.7,89,4.9,40.6,,,2.54,21,4.67,38.7,8.5,70.3,44.8,59.7,75,66,9.65,12.86,2.7,20.1,2.99,56.6,0.57,0.53,0.27,67,13.7,2.7,0.92,0.76,0.35,0.17,0.54,0.15,Probable low to none
3P02-2 ELEVATION LEVEL,3P02,2,Pine-Oak,P,GRASS FORAGE,10/16/16,91,9,12,10.4,87,5,41.7,,,2.75,23,5.44,45.4,8.5,70.8,48.8,62.9,77.6,65.3,10.4,13.4,1.6,13.3,2.92,54.8,0.55,0.5,0.25,61,11.9,1.6,1.09,0.86,0.37,0.19,0.59,0.14,Probable low to none
3P03-2 ELEVATION LEVEL,3P03,2,Pine-Oak,P,GRASS FORAGE,10/16/16,90.8,9.2,12.1,10.6,88.3,4.8,39.5,,,2.62,21.7,5.26,43.7,8.4,69.8,47.1,61.3,76.8,66.2,10.15,13.21,2.4,19.4,3.17,55.9,0.56,0.51,0.26,63,12.3,2.4,0.92,0.85,0.29,0.18,0.13,0.16,Probable low to none
3P04-2 ELEVATION LEVEL,3P04,2,Pine-Oak,P,GRASS FORAGE,10/16/16,91.6,8.4,12.2,10.7,88,5.5,45.4,,,2.68,22,4.62,37.9,8.9,72.7,46.8,63.3,73.9,62,9.73,13.18,2.1,14.7,2.9,56.3,0.56,0.52,0.27,66,14.3,2.1,1.36,0.89,0.41,0.19,0.73,0.14,Probable low to none
3S01-2 ELEVATION LEVEL,3S01,2,Pine-Oak,S,GRASS FORAGE,10/16/16,91,9,12.2,10.9,89.5,5.4,44.4,,,2.5,20.5,4.24,34.7,8.8,72.2,46.9,63.1,74.3,63.8,9.55,12.85,2.1,15.5,2.66,55.9,0.56,0.51,0.26,66,13.6,2.1,1.46,0.79,0.41,0.19,0.92,0.12,Probable low to none
3S02-2 ELEVATION LEVEL,3S02,2,Pine-Oak,S,GRASS FORAGE,10/16/16,91.1,8.9,13.4,11.9,88.5,5.9,44.1,,,2.89,21.5,4.64,34.6,9.7,72.1,45.7,63.5,72.1,59.8,10.85,15.05,2.9,19.7,2.74,55.1,0.55,0.5,0.25,69,14.9,2.9,1.5,0.94,0.41,0.2,0.7,0.16,Probable low to none
3S03-2 ELEVATION LEVEL,3S03,2,Pine-Oak,S,GRASS FORAGE,10/16/16,90.8,9.2,14.6,13,88.7,6.8,46.4,,,3.12,21.3,4.03,27.5,10.7,73.2,46.2,65.2,70.9,55.2,11.57,16.33,3.1,22.3,2.63,53.9,0.54,0.48,0.23,69,14,3.1,1.87,0.96,0.53,0.22,0.97,0.16,Probable low to none
3S04-2 ELEVATION LEVEL,3S04,2,Pine-Oak,S,GRASS FORAGE,10/16/16,91,9,14.4,12.6,88,6.3,43.8,,,3.15,22,4.79,33.4,10.3,71.9,46.5,64,72.7,58.8,11.58,15.92,2.4,17.1,2.72,54.3,0.54,0.49,0.24,67,13.8,2.4,1.23,0.95,0.47,0.2,0.73,0.17,Probable low to none
3W01-2 ELEVATION LEVEL,3W01,2,Pine-Oak,W,GRASS FORAGE,10/16/16,91,9,12.7,11.6,91.1,5.4,42.7,,,2.41,18.9,4.87,38.3,9.1,71.4,47.4,62.6,75.8,66.3,9.85,13,1.3,10.4,2.57,55.4,0.55,0.51,0.25,64,12.6,1.3,1.23,0.84,0.22,0.18,0.05,0.16,Probable low to none
3W02-2 ELEVATION LEVEL,3W02,2,Pine-Oak,W,GRASS FORAGE,10/16/16,91,9,11.8,10.9,91.8,5.1,43,,,2.15,18.2,4.81,40.7,8.5,71.5,48.8,62.8,77.7,68.5,9.32,12,1.5,13.3,2.42,54.8,0.54,0.5,0.24,61,11.1,1.5,1.75,0.84,0.12,0.17,,0.14,Probable low to none
3W03-2 ELEVATION LEVEL,3W03,2,Pine-Oak,W,GRASS FORAGE,10/16/16,91.1,8.9,12.3,11.6,94.3,5.3,42.7,,,1.93,15.7,4.46,36.2,8.8,71.4,46.8,61.4,76.3,66.9,8.51,11.15,1.9,16.3,2.63,56.9,0.57,0.53,0.28,64,11.8,1.9,1.37,0.89,0.11,0.17,,0.16,Probable low to none
3W04-2 ELEVATION LEVEL,3W04,2,Pine-Oak,W,GRASS FORAGE,10/16/16,91.2,8.8,11.9,11,92.9,5.1,43.1,,,2.03,17.1,4.34,36.6,8.5,71.5,45.4,60.4,75.3,67.6,8.4,11.16,2.3,17.4,2.65,57.4,0.58,0.54,0.28,66,13.3,2.3,1.29,0.8,0.22,0.19,,0.14,Probable low to none
4D01-2 ELEVATION LEVEL,4D01,2,Scrubland,D,GRASS FORAGE,10/16/16,91.5,8.5,10.8,10.3,95,5.2,47.6,,,1.62,15,3.9,36,8,73.8,45.9,59.8,76.8,71.5,7.01,9.13,2,15.9,2.27,58.4,0.58,0.55,0.3,64,12.7,2,1.33,0.7,0.16,0.18,0.03,0.13,Probable low to none
4D02-2 ELEVATION LEVEL,4D02,2,Scrubland,D,GRASS FORAGE,10/16/16,91.3,8.8,11.2,10.8,96.5,5.2,46,,,1.51,13.5,3.78,33.8,8.2,73,43.7,59.3,73.6,69,6.61,8.98,2.7,18.6,2.28,59.1,0.59,0.56,0.31,69,14.6,2.7,2.07,0.69,0.14,0.19,0.12,0.15,Probable low to none
4D03-2 ELEVATION LEVEL,4D03,2,Scrubland,D,GRASS FORAGE,10/16/16,91.2,8.8,10.6,10.1,95.2,4.7,44.5,,,1.57,14.8,4.15,39.2,7.7,72.2,45.2,59.9,75.4,69.4,6.61,8.76,2.4,17.7,2.28,58.7,0.59,0.56,0.3,66,13.8,2.4,2.09,0.68,0.17,0.18,0.28,0.12,Probable low to none
4D04-2 ELEVATION LEVEL,4D04,2,Scrubland,D,GRASS FORAGE,10/16/16,90.9,9.1,10,9.7,96.3,4.4,43.4,,,1.37,13.7,3.9,38.9,7.2,71.7,44.4,58.4,76,73,6.38,8.4,2.5,17.5,2.24,59.3,0.6,0.57,0.31,67,14.1,2.5,1.54,0.57,0.18,0.17,0.27,0.12,Probable low to none
4G01-2 ELEVATION LEVEL,4G01,2,Scrubland,G,GRASS FORAGE,10/16/16,90.8,9.2,10.9,10.1,92.9,4.3,39.1,,,1.87,17.1,5.17,47.4,7.6,69.6,47.2,61.1,77.3,70.7,7.8,10.1,2.4,18.6,2.19,57,0.57,0.53,0.27,63,13.1,2.4,1.72,0.67,0.18,0.17,0.32,0.13,Probable low to none
4G02-2 ELEVATION LEVEL,4G02,2,Scrubland,G,GRASS FORAGE,10/16/16,91.5,8.6,10.8,10.3,95.2,4.5,41.1,,,1.6,14.8,4.57,42.2,7.7,70.6,44.1,58.1,75.9,72,6.63,8.74,2.5,18.9,2.15,58.5,0.58,0.55,0.29,67,13.5,2.5,2.24,0.56,0.21,0.19,0.55,0.13,Probable low to none
4G03-2 ELEVATION LEVEL,4G03,2,Scrubland,G,GRASS FORAGE,10/16/16,91.2,8.8,10.7,10.1,94.5,4.5,41.4,,,1.67,15.5,4.68,43.6,7.6,70.7,44.5,58,76.6,72.3,6.66,8.69,2.9,21.8,2.03,58.2,0.58,0.55,0.29,66,13.2,2.9,2.1,0.53,0.23,0.18,0.54,0.12,Probable low to none
4G04-2 ELEVATION LEVEL,4G04,2,Scrubland,G,GRASS FORAGE,10/16/16,91.5,8.5,10.9,10.2,93.5,4.2,38.5,,,1.79,16.5,4.86,44.7,7.5,69.3,45.7,59.8,76.4,70.5,7.26,9.5,2.4,18.2,2.18,57.6,0.57,0.54,0.28,65,13.3,2.4,2.06,0.58,0.24,0.18,0.56,0.13,Probable low to none
4P01-2 ELEVATION LEVEL,4P01,2,Scrubland,P,GRASS FORAGE,10/16/16,91.6,8.4,11.2,10.3,92.6,4.6,41.5,,,1.94,17.4,5.01,44.9,7.9,70.7,47,61.5,76.4,69,7.64,10,1.7,13.4,2.49,57.5,0.58,0.54,0.28,64,13,1.7,2.01,0.75,0.21,0.2,0.37,0.15,Probable low to none
4P02-2 ELEVATION LEVEL,4P02,2,Scrubland,P,GRASS FORAGE,10/16/16,91.2,8.9,10.4,9.7,93.9,4.5,43.5,,,1.67,16.1,4.26,41.1,7.4,71.8,45.3,58.5,77.5,72.6,6.97,9,1.6,13,2.38,58.4,0.59,0.55,0.3,64,12.7,1.6,1.42,0.63,0.19,0.2,0.34,0.14,Probable low to none
