source: https://wrcc.dri.edu/cgi-bin/rawMAIN.pl?caucja%27,,,,,,,,,,,,,,
Date,Year,DayofYear,DayofRun,Totalsolarradiation_kwhr/m2,MeanWindSpeed_m/s,MeanWindDirection_Deg,Max_windgus_m/s,AverageAirTemp_C,MaxAverageAirTemp_C,MinAverageAirTemp_C,Avg_AverageRelativeHumidity,Max_AverageRelativeHumidity_%,Min_AverageRelativeHumidity_%,TotalPrecip_mm
1/27/16,2016,27,119,1.399,0.18,46,1.05,3.2,12.4,-1.9,63,76,19,0
1/28/16,2016,28,120,2.142,0.21,47,1.16,4.6,14.8,-0.5,58,79,18,0
1/29/16,2016,29,121,2.326,0.31,71,2.18,8.2,15,3,63,87,37,0
1/30/16,2016,30,122,2.271,0.34,72,2.03,6.2,11.2,2.2,82,98,42,0
1/31/16,2016,31,123,0.189,0.61,55,7.58,2.5,5.5,-3.7,98,100,94,39.12
2/1/16,2016,32,124,0.794,0.29,67,1.67,-3.3,-1.4,-6.9,97,99,84,0
2/2/16,2016,33,125,2.376,0.22,37,1.22,-3.6,2.6,-8.1,81,96,29,0
2/3/16,2016,34,126,2.296,0.19,24,1.63,-1.9,5.2,-6.5,81,97,44,0
2/4/16,2016,35,127,2.396,0.21,41,1.38,0.8,10.4,-3.7,73,93,27,0
2/5/16,2016,36,128,2.468,0.35,50,3.55,4.2,12.8,-1.5,50,78,15,0
2/6/16,2016,37,129,2.499,0.24,52,1.32,3.8,15.1,-1.4,62,81,19,0
2/7/16,2016,38,130,2.547,0.32,47,2.97,7.1,17.7,-0.1,50,79,11,0
2/8/16,2016,39,131,1.959,0.38,73,4.96,10.4,18.6,2.4,40,65,17,0
2/9/16,2016,40,132,2.644,0.22,50,1.39,7.6,20.2,1.2,52,72,15,0
2/10/16,2016,41,133,2.596,0.2,32,1.31,8.1,20.8,2.1,50,69,14,0
2/11/16,2016,42,134,2.674,0.19,30,1.15,7.9,20.7,1.8,48,67,12,0
2/12/16,2016,43,135,2.743,0.2,30,1.2,7.8,20.5,1.5,45,63,13,0
2/13/16,2016,44,136,2.917,0.2,29,1.42,7.2,19.4,1.3,49,65,10,0
2/14/16,2016,45,137,2.821,0.28,49,3.38,9.6,19.3,1.2,43,64,18,0
2/15/16,2016,46,138,2.873,0.26,47,2.77,11.2,20.4,4,42,60,23,0
2/16/16,2016,47,139,2.964,0.2,30,1.25,8.7,20.3,2.2,49,65,19,0
2/17/16,2016,48,140,2.784,0.38,61,2.38,9,17.8,3.5,48,96,20,0.51
2/18/16,2016,49,141,2.155,0.34,103,2.74,5.3,9.1,0,91,98,76,5.33
2/19/16,2016,50,142,3.123,0.28,53,1.42,4.4,12,-0.6,71,84,38,0
2/20/16,2016,51,143,3.133,0.2,28,1.3,6,16.8,-0.3,64,83,23,0
2/21/16,2016,52,144,3.318,0.23,45,1.43,6.5,18,0.2,53,82,13,0
2/22/16,2016,53,145,3.208,0.24,47,1.99,7.2,18.1,1,47,63,16,0
2/23/16,2016,54,146,2.953,0.21,29,1.4,6.9,16.4,1.2,47,66,15,0
2/24/16,2016,55,147,3.327,0.22,47,1.59,6,16,0,48,70,20,0
2/25/16,2016,56,148,3.253,0.2,30,1.6,7.1,18.6,0.2,41,58,16,0
2/26/16,2016,57,149,2.994,0.2,32,1.22,8.2,19.1,1.5,44,62,18,0
2/27/16,2016,58,150,3.253,0.24,29,1.39,8.4,18.9,2.1,43,65,15,0
2/28/16,2016,59,151,3.337,0.2,26,1.38,10.5,21.1,3.5,53,70,22,0
2/29/16,2016,60,152,3.2,0.21,28,1.6,9.8,20.7,4,51,72,20,0
3/1/16,2016,61,153,3.285,0.21,48,1.27,9.5,19,3.6,48,67,18,0
3/2/16,2016,62,154,3.255,0.23,33,1.23,8.4,18.2,2.4,43,66,18,0
3/3/16,2016,63,155,2.906,0.24,53,1.3,8.4,18,2.2,39,66,10,0
3/4/16,2016,64,156,3.11,0.24,46,1.33,6.7,16.3,0.7,45,84,16,0
3/5/16,2016,65,157,2.583,0.3,74,1.91,7.8,13,1.9,73,96,54,0
3/6/16,2016,66,158,0.888,0.38,60,2.97,3.6,6.5,-0.1,96,99,81,14.48
3/7/16,2016,67,159,0.324,0.28,62,1.85,-0.8,1.1,-5.2,98,100,95,27.94
3/8/16,2016,68,160,3.791,0.32,30,2.88,1.1,7.1,-5.2,87,99,60,0.25
3/9/16,2016,69,161,3.657,0.23,43,1.28,3.9,14.2,-1.3,85,100,35,0
3/10/16,2016,70,162,3.623,0.22,48,1.73,6.9,17.1,0.3,78,99,30,0
3/11/16,2016,71,163,3.094,0.4,45,2.99,4.4,11.3,0.1,82,100,41,19.81
3/12/16,2016,72,164,2.45,0.31,79,1.66,1.6,6.1,-1.7,95,100,80,0
3/13/16,2016,73,165,3.282,0.3,95,1.72,3.5,9.9,-1.8,85,99,43,0
3/14/16,2016,74,166,3.158,0.27,21,1.72,5.4,9.8,1.3,91,98,74,0
3/15/16,2016,75,167,3.937,0.23,37,1.78,7.2,18.1,0,68,97,23,0
3/16/16,2016,76,168,4.118,0.24,46,2.08,8.6,18.6,1.6,64,91,23,0
3/17/16,2016,77,169,4.116,0.23,41,1.56,8.8,18.1,2.5,66,90,29,0
3/18/16,2016,78,170,4.273,0.23,43,1.83,8.7,18.7,1.8,65,87,28,0
3/19/16,2016,79,171,4.212,0.23,43,1.36,9.1,19.6,2.8,58,78,24,0
3/20/16,2016,80,172,4.311,0.23,40,1.68,8.3,18,0.7,51,74,16,0
3/21/16,2016,81,173,4.12,0.31,80,1.97,7.5,14.3,1.5,59,93,14,0
3/22/16,2016,82,174,3.119,0.32,79,1.52,3.2,9,-2.2,78,92,55,0
3/23/16,2016,83,175,4.157,0.34,40,2.52,5.6,13.8,-2.6,37,80,8,0
3/24/16,2016,84,176,4.47,0.29,30,1.83,8,16.9,1.1,38,62,17,0
3/25/16,2016,85,177,4.445,0.23,20,1.54,7.9,17.9,1.1,54,78,24,0
3/26/16,2016,86,178,4.518,0.26,42,2.19,8.3,17.9,0.9,52,80,21,0
3/27/16,2016,87,179,4.33,0.27,64,1.79,8.1,16.1,1.9,60,79,29,0
3/28/16,2016,88,180,2.052,0.38,60,2.23,2.6,6.7,-1.5,88,97,75,0
3/29/16,2016,89,181,1.788,0.36,65,2.4,-0.2,2.9,-1.9,93,100,73,3.56
3/30/16,2016,90,182,1.908,0.22,27,1.51,-0.3,4.8,-4.8,85,96,57,0
3/31/16,2016,91,183,3.977,0.28,36,2.39,3.1,11.3,-3.1,77,98,38,0
4/1/16,2016,92,184,4.373,0.29,33,1.96,7.3,15.4,-0.6,66,98,32,0
4/2/16,2016,93,185,4.535,0.26,40,2.54,8.4,18.2,0.9,57,85,23,0
4/3/16,2016,94,186,4.116,0.26,33,2.92,9.3,19.1,1.7,57,85,23,0
4/4/16,2016,95,187,4.568,0.25,50,1.78,9.4,18.4,3,52,78,20,0
4/5/16,2016,96,188,3.816,0.29,37,2.33,11.3,21.4,2.2,40,66,16,0
4/6/16,2016,97,189,4.059,0.34,21,2.86,14.4,22.5,6.5,33,55,12,0
4/7/16,2016,98,190,1.819,0.19,39,1.77,9.2,12.9,6.7,69,96,47,0
4/8/16,2016,99,191,0.697,0.19,249,1.25,7.4,9,6.4,97,98,95,11.18
4/9/16,2016,100,192,0.972,0.23,89,1.35,5.1,7.3,2,98,100,93,13.72
4/10/16,2016,101,193,1.085,0.18,75,0.93,5.1,6.5,3.8,98,99,93,8.89
4/11/16,2016,102,194,1.756,0.17,17,1.3,5.2,10,1.2,97,100,85,7.87
4/12/16,2016,103,195,5.203,0.24,46,1.56,7.1,13.9,1.3,88,100,57,0
4/13/16,2016,104,196,5.519,0.26,53,1.85,7.6,15.1,1,80,99,43,0
4/14/16,2016,105,197,5.279,0.3,74,2.2,6.7,14.1,1.5,77,97,22,0
4/15/16,2016,106,198,5.629,0.48,92,3.12,7.4,13.3,-0.1,43,90,17,0
4/16/16,2016,107,199,5.845,0.57,72,5.38,11.1,16.9,5.8,21,39,13,0
4/17/16,2016,108,200,5.975,0.5,44,4.95,12,19.8,3.3,26,55,9,0
4/18/16,2016,109,201,5.902,0.26,32,1.72,10.2,20.1,2.3,40,66,14,0
4/19/16,2016,110,202,5.785,0.25,45,1.8,11.4,21.7,3.8,41,68,14,0
4/20/16,2016,111,203,6.124,0.27,45,1.78,-24.8,8.9,-40,19,61,0,0
4/21/16,2016,112,204,5.726,0.28,25,2.03,-7.1,20.4,-40,18,46,0,0
4/22/16,2016,113,205,6.246,0.32,92,1.58,9.9,18.2,3.6,48,93,15,0
4/23/16,2016,114,206,6.259,0.31,22,1.7,7.4,15.2,-0.1,65,92,20,0
4/24/16,2016,115,207,6.004,0.29,58,2.25,7.2,15.7,1.4,55,94,23,0
4/25/16,2016,116,208,1.87,0.43,47,2.07,2.4,6.9,-3,94,99,62,4.57
4/26/16,2016,117,209,5.339,0.26,46,1.37,3.6,10.9,-3.3,80,98,42,0
4/27/16,2016,118,210,6.162,0.34,78,1.95,5.4,12.1,-0.4,79,97,42,0
4/28/16,2016,119,211,1.163,0.24,54,1.54,3,5.7,0.5,98,99,86,0.76
4/29/16,2016,120,212,6.444,0.29,55,1.78,5.9,12.4,-0.2,83,100,50,0
4/30/16,2016,121,213,1.561,0.24,113,1.2,4.8,6.4,2.1,97,99,89,0
5/1/16,2016,122,214,4.021,0.26,32,1.8,7.2,12.9,1.8,88,99,50,1.78
5/2/16,2016,123,215,3.35,0.21,40,1.44,9,17.2,2.5,78,99,37,0
5/3/16,2016,124,216,6.571,0.29,42,2.08,11.1,21.2,-40,57,89,0,0
5/4/16,2016,125,217,6.472,0.29,32,1.86,-8.3,18.3,-39.8,48,88,0,0
5/5/16,2016,126,218,1.537,0.26,113,1.41,4.3,6.8,-6.9,92,99,67,2.54
5/6/16,2016,127,219,1.433,0.2,68,1.43,3.8,5.5,0.5,98,100,94,20.83
5/7/16,2016,128,220,3.45,0.25,147,1.47,5.5,9.2,3.1,92,99,70,8.89
5/8/16,2016,129,221,4.593,0.24,35,1.65,5.3,9.3,0.8,94,100,80,0
5/9/16,2016,130,222,6.521,0.26,40,1.67,7.7,13.7,1.5,88,99,70,0
5/10/16,2016,131,223,6.608,0.26,5,1.75,9.2,17.6,3.1,77,99,50,0
5/11/16,2016,132,224,6.542,0.24,10,1.47,12.3,22.2,2.9,65,90,33,0
5/12/16,2016,133,225,6.501,0.25,24,1.98,13.1,25,-39.9,55,84,0,0
5/13/16,2016,134,226,6.569,0.32,59,1.95,-4.8,23,-39.5,35,76,1,0
5/14/16,2016,135,227,6.601,0.34,55,2.34,12.1,22.6,3.8,54,92,12,0
5/15/16,2016,136,228,3.275,0.31,149,1.42,7.5,10.9,3.9,86,96,71,0
5/16/16,2016,137,229,6.737,0.29,28,1.96,8.7,15.4,1.9,82,98,56,0
5/17/16,2016,138,230,5.181,0.29,24,2.2,9.8,18.9,4.6,79,96,42,0.25
5/18/16,2016,139,231,5.245,0.28,43,1.55,12.4,20,4.8,66,93,40,0
5/19/16,2016,140,232,6.746,0.29,73,1.76,12.9,20.5,6.4,64,84,31,0
5/20/16,2016,141,233,6.896,0.37,81,2.41,7.7,14,1.9,57,92,15,0
5/21/16,2016,142,234,6.923,0.33,161,1.84,4.2,10.2,-1.5,80,96,54,0
5/22/16,2016,143,235,6.909,0.29,314,1.82,5.4,13,-1.7,80,97,48,0
5/23/16,2016,144,236,6.946,0.29,208,1.8,5.8,12.3,-1.7,77,97,52,0
5/24/16,2016,145,237,6.661,0.31,150,1.79,6,11.6,0.1,82,97,54,0
5/25/16,2016,146,238,2.689,0.26,94,1.54,5.2,8.7,0.8,83,97,62,0
5/26/16,2016,147,239,6.749,0.29,33,1.97,7.9,14.6,0.6,81,98,56,0
5/27/16,2016,148,240,6.407,0.26,16,1.9,11.2,19.8,3,66,96,32,0
5/28/16,2016,149,241,5.926,0.26,27,1.86,11.7,19.6,5.2,69,88,42,0
5/29/16,2016,150,242,6.69,0.29,15,2.29,10.7,18.4,4.7,72,86,34,0
5/30/16,2016,151,243,6.688,0.28,33,1.81,13,20.9,5.2,60,84,31,0
5/31/16,2016,152,244,6.617,0.27,26,2.27,16.2,26.6,8.2,52,70,16,0
6/1/16,2016,153,245,6.79,0.27,27,2.1,17.3,27.6,9.8,47,64,14,0
6/2/16,2016,154,246,6.706,0.25,58,1.51,18.1,28.5,-5.1,37,57,15,0
6/3/16,2016,155,247,6.873,0.27,45,1.62,18.7,28.9,11.2,26,48,11,0
6/4/16,2016,156,248,6.851,0.26,39,1.99,18.7,29,9.8,28,47,11,0
6/5/16,2016,157,249,6.913,0.26,53,1.94,16.3,26.7,8.3,39,57,17,0
6/6/16,2016,158,250,6.945,0.3,53,1.72,14.9,24.1,3.8,45,64,24,0
6/7/16,2016,159,251,6.819,0.26,17,1.47,16.9,25.3,9.6,47,64,29,0
6/8/16,2016,160,252,6.38,0.24,16,1.43,18.9,27.8,11.7,44,61,27,0
6/9/16,2016,161,253,6.693,0.27,19,1.53,17.8,28.1,-15.6,48,76,11,0
6/10/16,2016,162,254,6.377,0.25,15,1.89,16.6,23.3,9.8,47,77,29,0
6/11/16,2016,163,255,6.862,0.3,41,1.48,13.4,21.1,7,72,94,52,0
6/12/16,2016,164,256,7.028,0.29,331,1.78,10.9,17.6,5,61,81,29,0
6/13/16,2016,165,257,7.035,0.27,28,1.46,10.8,18.6,3.4,63,84,34,0
6/14/16,2016,166,258,7.044,0.27,33,1.52,12.4,20.1,5.5,56,84,32,0
6/15/16,2016,167,259,7.09,0.28,14,1.99,10.9,18.2,4.6,52,74,19,0
6/16/16,2016,168,260,6.92,0.26,17,1.42,12.3,20,4.9,53,76,27,0
6/17/16,2016,169,261,7.077,0.26,23,1.48,14.6,23.7,6.2,46,77,23,0
6/18/16,2016,170,262,6.166,0.23,42,1.4,17.3,26.7,6.8,29,48,10,0
6/19/16,2016,171,263,6.601,0.24,48,1.65,22,32.9,13.3,30,51,12,0
6/20/16,2016,172,264,6.708,0.29,50,1.99,23.5,34.9,14.6,32,61,10,0
6/21/16,2016,173,265,3.498,0.23,44,1.28,21.4,30,15.6,39,56,16,0
6/22/16,2016,174,266,6.672,0.31,56,1.56,19.6,26.9,12.6,39,64,22,0
6/23/16,2016,175,267,6.877,0.27,43,1.41,18.2,26.7,10.4,37,54,18,0
6/24/16,2016,176,268,7.076,0.26,52,1.64,18.3,26.5,11.8,35,54,15,0
6/25/16,2016,177,269,6.642,0.23,13,1.51,19.8,30.2,11.1,41,63,21,0
6/26/16,2016,178,270,6.75,0.24,40,1.71,21.4,32.1,12.6,40,63,14,0
6/27/16,2016,179,271,2.437,0.17,37,1.26,20.2,28.5,14.8,52,67,28,0
6/28/16,2016,180,272,6.29,0.23,49,2.15,21.7,30.1,15,42,62,25,0
6/29/16,2016,181,273,6.759,0.24,44,1.57,21.4,31.3,14,42,61,16,0
6/30/16,2016,182,274,6.545,0.23,43,1.75,20.5,29.3,13.4,43,63,25,0
7/1/16,2016,183,275,6.065,0.24,38,1.52,19.6,27.1,14.2,63,82,41,0
7/2/16,2016,184,276,6.752,0.25,32,1.44,18.2,26.4,11.8,44,78,15,0
7/3/16,2016,185,277,6.715,0.28,52,1.68,18.2,25.9,12.5,44,61,20,0
7/4/16,2016,186,278,6.974,0.26,33,1.49,17,25.7,10.3,30,56,13,0
7/5/16,2016,187,279,7.004,0.26,13,1.65,15.9,24.5,8.3,28,63,7,0
7/6/16,2016,188,280,6.871,0.24,7,1.43,15.5,24.6,8.2,37,73,21,0
7/7/16,2016,189,281,6.887,0.25,23,1.35,16.1,24.7,8.6,33,49,22,0
7/8/16,2016,190,282,6.853,0.23,27,1.84,16.6,26.2,9,29,50,18,0
7/9/16,2016,191,283,6.823,0.25,40,1.77,16.9,26.2,8.5,35,60,19,0
7/10/16,2016,192,284,6.675,0.29,48,2.08,16.6,25.1,9.7,43,66,25,0
7/11/16,2016,193,285,6.767,0.26,27,1.63,15.5,24.4,8.5,38,72,16,0
7/12/16,2016,194,286,6.806,0.24,15,1.6,13,24.7,-39.9,34,63,0,0
7/13/16,2016,195,287,6.683,0.24,40,1.56,17.6,28.3,8.4,30,49,18,0
7/14/16,2016,196,288,6.649,0.22,29,1.53,18.3,28.2,9.3,22,46,11,0
7/15/16,2016,197,289,6.639,0.24,37,1.5,-11.9,28.2,-39.6,10,25,0,0
